Distance_km,Eavesdrop,Bits_Sent,Bits_Received,Photon_Survival_Prob,Sifted_Key_Length,QBER,Key_Rate,Secure
10,False,10000,6272,0.6309573444801932,3060,0.00849673202614379,0.306,True
20,False,10000,3918,0.3981071705534972,1958,0.007150153217568948,0.1958,True
30,False,10000,2481,0.251188643150958,1208,0.004966887417218543,0.1208,True
40,False,10000,1603,0.15848931924611134,846,0.0070921985815602835,0.0846,True
50,False,10000,1011,0.1,484,0.008264462809917356,0.0484,True
60,False,10000,628,0.06309573444801933,333,0.009009009009009009,0.0333,True
70,False,10000,405,0.039810717055349734,213,0.028169014084507043,0.0213,True
80,False,10000,246,0.025118864315095794,116,0.0,0.0116,True
90,False,10000,176,0.015848931924611134,85,0.011764705882352941,0.0085,True
100,False,10000,97,0.01,47,0.0,0.0047,True
10,True,10000,6320,0.6309573444801932,3089,0.2492716089349304,0.3089,False
20,True,10000,3914,0.3981071705534972,1975,0.2587341772151899,0.1975,False
30,True,10000,2502,0.251188643150958,1256,0.24363057324840764,0.1256,False
40,True,10000,1632,0.15848931924611134,806,0.2531017369727047,0.0806,False
50,True,10000,1000,0.1,474,0.229957805907173,0.0474,False
60,True,10000,646,0.06309573444801933,349,0.24355300859598855,0.0349,False
70,True,10000,397,0.039810717055349734,191,0.24083769633507854,0.0191,False
80,True,10000,267,0.025118864315095794,140,0.17142857142857143,0.014,False
90,True,10000,167,0.015848931924611134,93,0.13978494623655913,0.0093,False
100,True,10000,97,0.01,32,0.25,0.0032,False
